Position,Track Name,Artist,Streams,URL,Week
111,Believer,Imagine Dragons,6463053,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP,2020-03-20--2020-03-27
112,Maniac,Conan Gray,6386663,https://open.spotify.com/track/6KfoDhO4XUWSbnyKjNp9c4,2020-03-20--2020-03-27
113,A Tu Merced,Bad Bunny,6379684,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0,2020-03-20--2020-03-27
114,I Love Me,Demi Lovato,6354475,https://open.spotify.com/track/2IHLaN6wwYKQ3S24NsQqpA,2020-03-20--2020-03-27
115,Muévelo,Nicky Jam,6351590,https://open.spotify.com/track/4VgYtXCVJ7IbWAZ5ryfvEQ,2020-03-20--2020-03-27
116,Happier,Marshmello,6319232,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99,2020-03-20--2020-03-27
117,BOP,DaBaby,6309489,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN,2020-03-20--2020-03-27
118,Goodbyes (Feat. Young Thug),Post Malone,6302264,https://open.spotify.com/track/6vBdBCoOhKHiYDDOcorfNo,2020-03-20--2020-03-27
119,Me Gusta,Shakira,6255589,https://open.spotify.com/track/5Xhqh4lwJPtMUTsdBztN1a,2020-03-20--2020-03-27
120,WANNABE,ITZY,6184809,https://open.spotify.com/track/6tCssnvTUREcperDOUTqvA,2020-03-20--2020-03-27
121,Get You The Moon (feat. Snøw),Kina,6156470,https://open.spotify.com/track/4ZLzoOkj0MPWrTLvooIuaa,2020-03-20--2020-03-27
122,LA CANCIÓN,J Balvin,6109528,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18,2020-03-20--2020-03-27
123,OUT WEST (feat. Young Thug),JACKBOYS,6099118,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw,2020-03-20--2020-03-27
124,Bandit (with YoungBoy Never Broke Again),Juice WRLD,6092951,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd,2020-03-20--2020-03-27
125,Callaita,Bad Bunny,6044170,https://open.spotify.com/track/2TH65lNHgvLxCKXM3apjxI,2020-03-20--2020-03-27
126,Ransom,Lil Tecca,5975845,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO,2020-03-20--2020-03-27
127,Old Town Road - Remix,Lil Nas X,5952774,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG,2020-03-20--2020-03-27
128,SUGAR,BROCKHAMPTON,5904899,https://open.spotify.com/track/6U0FIYXCQ3TGrk4tFpLrEA,2020-03-20--2020-03-27
129,SAD!,XXXTENTACION,5864755,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2,2020-03-20--2020-03-27
130,Jocelyn Flores,XXXTENTACION,5863409,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96,2020-03-20--2020-03-27
131,Bruises,Lewis Capaldi,5833291,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG,2020-03-20--2020-03-27
132,Go Stupid,Polo G,5824245,https://open.spotify.com/track/74fV8TuLZKVzSIOOGu8wwI,2020-03-20--2020-03-27
133,Bohemian Rhapsody - 2011 Mix,Queen,5821918,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv,2020-03-20--2020-03-27
134,Verde,J Balvin,5745393,https://open.spotify.com/track/3HTbI3yUJQw3fP0Po8qLcD,2020-03-20--2020-03-27
135,No Me Conoce - Remix,Jhay Cortez,5688291,https://open.spotify.com/track/4R8BJggjosTswLxtkw8V7P,2020-03-20--2020-03-27
136,Fantasias,Rauw Alejandro,5657001,https://open.spotify.com/track/6mAN61JH0dzyZpWslS11jy,2020-03-20--2020-03-27
137,Baby Pluto,Lil Uzi Vert,5600261,https://open.spotify.com/track/7hav1MHURQf5SAoPk0egqh,2020-03-20--2020-03-27
138,Without Me,Halsey,5592578,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ,2020-03-20--2020-03-27
139,Sucker,Jonas Brothers,5577052,https://open.spotify.com/track/22vgEDb5hykfaTwLuskFGD,2020-03-20--2020-03-27
140,Wow.,Post Malone,5547574,https://open.spotify.com/track/7xQAfvXzm3AkraOtGPWIZg,2020-03-20--2020-03-27
141,Say You Won't Let Go,James Arthur,5523010,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2020-03-20--2020-03-27
142,July,Noah Cyrus,5474460,https://open.spotify.com/track/5a6pdCHlWS2ekOOQ70QnAr,2020-03-20--2020-03-27
143,Medusa,Jhay Cortez,5474056,https://open.spotify.com/track/3qM0vBxIe4VUbK0Z0smuVP,2020-03-20--2020-03-27
144,Robbery,Juice WRLD,5457574,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ,2020-03-20--2020-03-27
